Candidate	Prompt	Prompt Source	Transformer_Text
Trump	Donald Trump	Text	Hillary Clinton has put American lives at risk.' (Pete Marovich/AP) Trump gave reporters the same response as his fellow Republicans after an attack at a San Bernardino cafe Thursday: "Hillary Clinton has put American lives at risk." The attack in California, where a radicalized man killed 14 people in June in an attack on a crowded holiday party, and Trump's apparent embrace of his political opponents has alarmed some in Congress and within his own party who may be willing to try to force Trump into a more traditional presidential platform. "I wish Hillary Clinton were elected president," Trump said Thursday in a private room in his office with his wives, Melania and Barron. "She is one term worse than a disgrace to the memory of the United States." Trump's remarks came a day after several of his closest friends and family members, including some of Trump's former competitors in recent GOP primary contests, had released messages attacking Hillary Clinton and warning the GOP's nominee against making political comments. Clinton has faced sharp criticism in recent weeks, particularly for her use of a private email server as secretary of state to send and receive top secret diplomatic and military decisions. She has largely avoided attacks during her two months as the Democratic nominee for the Nov. 8 presidential election, making her the first woman president at a time when female leaders on both the presidential and legislative levels
Trump	Donald John Trump (born June 14, 1946) is the 45th and current president of the United States. Before entering politics, he was a businessman and television personal	Wikipedia	secretary for John F. Kennedy. An accomplished athlete and a lifelong friend of John F. Kennedy, Trump became a household name as he was a candidate for president of the United States in 1968. As a businessman and entertainer, Trump has made a name for himself in the arts, entertainment, sports, fashion, and life. He became an elected official representing his district, and after winning the U.S. Senate election, he served as President George W. Bush's second in command. He was nominated for President by President George H.W. Bush in 2008 along with fellow Republican and Democratic Party nominees John McCain and Joe Lieberman. During his 2008 run for the White House, Trump won the Iowa caucuses, a landslide win that greatly boosted his popularity and put him into power. He defeated Democrat Barack Obama in the general election in November 2008 Throughout his campaign, Trump made a point of condemning Republican establishment members and former party leaders for their support of Republican candidates and policies. When he was attacked for the Republican Party unity in the 2008 Iowa Republican Presidential caucus, Trump said that he believed John McCain and Mitt Romney would have been better for the country. This statement drew widespread criticism from both Democrats and Republicans alike. After coming within two
Trump	We will make America strong again. We will make America proud again. We will make America safe again. And we will Make America Great Again!	BallotPediaQuote	Source: 2016 GOP debate at NCLR , Sep 6, 2016  Rampant anti-Semitism is not acceptable  Source: Fox Business/Telemundo Republican Presidential Primary Debate at Reagan National Convention , Sep 5, 2016  We're not talking about Israel or Muslims  A: When you think about Iran nuclear issue, if I can repeat this, if we say something about Russia, say nothing else in the world. But here's the question: What kind of country has Iran built up to be? This is about Iran, about trying to get a bomb off the other side. And if you have those two things, and I'm sure they are very powerful people inside Iran and the Iranian Revolutionary Guard, who do a very important job, I have to say we are not talking about Israel or Islam. It's not about Muslims. We will have no discrimination, or I would even say we need to be able to do that, for it's something that is wrong.  Source: 2016 GOP primary debate at NCLR , Sep 5, 2016  On Islam, "there's going to be a day when they'll say we shouldn't give him weapons. And I do think if it comes to
Trump	President Donald Trump left the White House Saturday for a last-minute trip to Camp David -- escaping Washington at a moment when sources say he appears increasingly disenchanted by advice from his inner circle and out of sorts with some of the mainstays in his Cabinet.	CNN	Meanwhile, Trump's wife, Melania Trump, began to take time off to celebrate the birth of their daughter, Tiffany ― the couple had been slated to attend the annual Miss Universe pageant, which is being held in Hungary. A day later, White House press secretary Sean Spicer issued an abrupt correction to a reporter's question about whether Trump's trip was more than just an escape. "They're doing it out of patriotism ... and they're going to the White House, the Cabinet was briefed on it, and as you know all Presidents are invited on a trip. And obviously the President's going to take them to Camp David."  And on Saturday, as reporters took a break from the tour-traffic-packed Oval Office to take photos with the couple as they entered the White House from the West Front, Trump appeared to take a moment to congratulate his wife. "Congratulations on being a mom, and a dad," he told Melania at the Pentagon's Visitor Center. "That girl is the beauty of the United States of America."
Trump	With my father’s official unveiling of his re-election campaign Tuesday evening, Americans are about to witness another 17-month mudslinging slog to determine the future course of the nation.	FoxNews	To begin the campaign, we turn from the presidency to candidates for Congress.   A few weeks ago, when I was the mayor of Salt Lake City, I took on the Salt Lake City Democratic Party. My first order of business after I became mayor was to find out where they went to church. I found out they went to Utah Valley Church. They went to an evangelical evangelical church. They went to a church founded by the Reverend Billy Graham. They went to something called The Church of Jesus Christ of Latter-Day Saints.  Advertisement  My second challenge was to find out whether you could take that church's doctrine, its leaders, its teachings and put them into concrete policy. I made sure to find out who they worshiped. They worshiped God, but the church was not, as Mormons believe, a temple. It was an assembly room, and what they worshiped at that place, which was also called the First Presidency and First Quorum of the Seventy, they were not supposed to speak in the presence of the presiding officers of a public building. I had people put their hats on.  So for a while, I thought I had it figured
Trump	US President Donald Trump has formally launched his re-election campaign, urging supporters to "keep this team in place" for four more years.	bbc	(The Washington Post)  When Barack Obama was preparing to leave office, he told friends and allies he would make history as the first American president to win a landslide re-election in a presidential election. When he walked away with his second term, he warned that Democrats, who had done so much to reverse Republican gains, risked being "frozen out," a threat that seems to have come true.  He didn't always use it. With the 2016 election looming and Republicans losing all their seats in several of their statehouses — an outcome that could force the country to turn to the legislative and executive branch, Democrats had already begun to lose control of both houses. But Obama's victory in 2016 meant there was no stopping him from pushing forward — and it didn't stop Republicans, either. It also meant the country was headed to a new normal, one where Republicans were expected to govern, not dictate, America's politics. The country faced its most dangerous situation since the 1920s, one that the nation's oldest party and the biggest political organization today had largely ignored.  Weeks before the November election, Obama was in charge of the first new White House post he has ever held after serving as an eight-year congressman. For the better
Sanders	Bernie Sanders	Text	who is the most popular candidate in the race among young voters, has repeatedly called on Sanders to drop out.  Sanders has faced the same complaints about his political integrity since he first began raising money in 1996.  "This kind of pattern of abuse just continues to show how little regard the Sanders campaign really takes his supporters, so it is only logical for them to begin thinking of someone else to endorse for president," said Democratic strategist Jon Cohen, who has worked in both parties. "This is yet another reason to support Sanders in June, as he can't afford to leave the Democratic primaries."  If Sanders does drop out, he would join a growing list of other presidential candidates who aren't sure when or how they'll drop out of the race to the left of Democratic front-runner Hillary Clinton. Some, including Florida Sen. Marco Rubio (who announced his bid after the primaries wrapped up) and Ohio Gov. John Kasich, are not ruling out running into trouble in the general election, as Sen. Rand Paul did earlier this month.  That's also the same logic Sanders supporters believe was behind his decision to enter the race in the first place. Sanders, who is a self-described "democratic socialist," is campaigning on his plan to create an all-volunteer military to fight the influence of overseas and Middle Eastern extremists within NATO in the midst of a war
Sanders	Bernard Sanders (born September 8, 1941) is an American politician who has served as the junior United States Senator from Vermont since 2007. 	Wikipedia	He was elected Vermont's First Congressional District Senator in 2006 for a second term, and then elected to a second term in November 2014. From 2007 to 2013, Sanders served in Congress, and he has been an independent candidate for President in the 2016 Democratic presidential nomination contest. Senator Sanders is a democratic socialist. His views are based around supporting issues of economic equality, public education and healthcare, environmental protection, and racial justice. Many of his policy statements include support for Medicare for all, expanding Social Security, creating a public works program to build affordable housing, increasing the minimum wage, raising the minimum wage and raising the minimum wage to $15 an hour. Senator Sanders is a member of the United States Senate from Vermont. He voted for and opposed measures that would increase U.S. trade policy in the WTO, and supports ratification of the Trans-Pacific Partnership. He co-sponsored legislation called "The Fair Pay for Fair Work Act". He supports policies to strengthen America's social safety net and has pushed for federal investments in jobs training and training programs to help Americans transition out of poverty. He has also been a staunch protector of workers' rights and fought to keep millions of the most vulnerable in the workforce from being
Sanders	Our campaign is about transforming our country and creating a government based on the principles of economic, social, racial and environmental justice	BallotPediaQuote	and fairness, so the rest of the world knows where our priorities are, and what real solutions exist," said Democratic presidential frontrunner Bernie Sanders on the stage at San Jose State University on Thursday. "I believe in working together as a nation to achieve that fundamental transformation." This was Sanders' second appearance as head of the party. In March, the Vermont senator announced his candidacy for president.   "The future of our politics depends on the strength of the economy. We can't afford a broken politics," Sanders said. "The Democratic Party is the only party in terms of wealth and income in the country that has balanced the budget and raised wages of nearly every worker by far since World War II." He added: "That is the reason why, despite the rise of huge wealth and income inequality in this country, we are the only major modern economic power."   "I have fought to guarantee that no two families in our country will ever be locked into poverty and that no president in our country should impose an income tax on the hopes and dreams of working families." On climate change, Sanders said that, "there simply cannot be any question but that the present-day crisis is a grave one and is caused not only by climate change but by the greed and irresponsibility of
Sanders	Sen. Bernie Sanders is set to stake out uncharted territory in the Democratic presidential primary, offering up a plan to completely eliminate the student loan debt of every American.	CNN	Sanders recently offered his plan in a speech to students and faculty at the University of Illinois at Urbana-Champaign after which he met with students from the College of St. Benedict, where the professor has been an active fixture of the student activism movement for most of his adult life.  In the hour-long speech, Sanders explained his plans to completely reduce student loan debt. It's likely the student debt of the current crop of students will be eliminated by a simple mathematical formula.  "Imagine you're paying a quarter of a million dollars a year for a bachelor's degree. Let's also assume the average student makes $30,000 a year. Let's say you buy a house or get married. You have $100,000 to work with. In five years, you will pay off every student debt you have in student loans and save all the money you paid off to get a college degree," said Sanders. "One third of the student loan debt today is for student loans today — all of this will be gone in five years by having my plan happen."  The speech was delivered on the campus auditorium at UIC and was delivered to a small crowd of about 15 people.
