screen_name	Tweet	TweetSent	CPT-2Output
realDonaldTrump	Congratulations to the U.S. Women’s Soccer Team on winning the World Cup! Great and exciting play. America is proud of you all!	0.9669	After the match, U.S. Soccer issued a statement on the results:  "The women's soccer field conditions were exceptional and we thank the players and staff in the U.S. Soccer women's team program who made this soccer event a successful one."  The players who played in today's match include midfielder Hope Solo, who scored the equalizer during the match. She spoke to the crowd of many supporters in the stadium for the first time today. Solo: "This was a crazy game where we just dominated all the parts of the pitch. It really was a great show for us, a very exciting match. I'm really proud of the players. We showed a lot of character and we knew what we were doing. We knew where our spots were and it made it easy for us to play in the games that we were given, and it made us feel like we were part of a team."  Solo and the U.S. Women's soccer team will play two home games in the coming weeks against both Canada and Mexico.
ewarren	@oliviawilde Ha, I love it! Thanks for having faith in me.	0.9117	I'll be sure to share the next set with you soon.  Thank you both. Love,  Evan  Thanks again!  Have a good time today!  --Evan
PeteButtigieg	Thrilled to be with Storm Lake this morning celebrating Independence Day. Thanks for the warm welcome. Happy Fourth…	0.9524	of July!"  "Hello Storm Lake – thank you for my lovely letter from last week. It's always nice to meet you. I am glad to hear you have a small garden in your front yard! I was planning to give my husband and kids the whole area this summer. Thank you! Hope you're enjoying the weather! Love, Your mother and daughters. Love, Joe and Melissa"  "It's been an honor to have Storm Lake on my property. My children are looking forward to the Fourth of July with me this year. I appreciate your welcome… and I really appreciate the warm and affectionate hospitality of our neighbors!"  "Storm Lake is so happy to have you on the property. We have lived next to your town for quite some time, and we're thrilled to have you at our farm and on our farm. Thank you for the gracious offer of a small private area you and your family will enjoy."  "When I saw that you had a large home in Storm Lake I was so thrilled. My husband and I really enjoyed visiting you and your wonderful garden. I can't put into words how pleased we are by what you've done at this farm. Your farm looks beautiful; it's big and there's so much to see. I know
BernieSanders	Happy Independence Day! Together, we will continue building the kind of nation based on love and justice we know we can become.	0.9117	Together, our children will find us stronger than ever. I look forward to seeing you soon this great day to all of you.  Peace,  -President of the United States  The most remarkable thing about the speech is how many Americans came out of retirement to take part in it. Americans have been thinking about politics in deep and meaningful ways, especially since November 10th.  What President Obama has promised on a daily basis is that he is fighting for a better America, and it's important to pay attention to what he's doing and not let any of his words distract us from what is real.  He wants to move America forward into a new economy, but he doesn't just talk about how important it is to get a lot of workers into the middle class. He really believes that the middle class can provide so much more than just good-paying jobs.  To me it was clear from Obama's speech that the president's first few months in office are going to be incredibly difficult. I have been fighting his reelection until the last minute. I worked on his reelection, and I fought hard for him in the White House too.  He still hasn't reached out very much to Republicans in the Senate, yet he has said things
JoeBiden	@USWNT, congratulations on the big win and thank you for the jersey! Your talent, heart, and advocacy for equal	0.923	opportunities, girls and women has been amazing and inspirational. It was my dream to represent this country and I will always treasure it every day."  USA Today published the story of Yvonne and said this was a major victory in advancing women's sports in the United States and will be a huge statement on the need to increase the number of women's sports, athletes and professionals in the U.S.  "It was a powerful moment after three decades of silence," USA Today wrote. "Since Yvonne came out in 2014, other women have started competing and been inspired to take the next step into the sport. It felt as if this was the year she could do something about it."  The story continued: "Now that the Olympics are here, I'm excited for her as well as all of the future Olympians."  RELATED VIDEO: Yvonne McEnroe Says Her 'Basket Case' was a 'Dream'  The American Sports Editors Association called the win "an enormous victory," and said it sends up that the sport of women's soccer needs an "all-out effort" to improve diversity and parity in the sport.  "We were proud to support Yvonne as she became, and was in her
KamalaHarris	Thank you for your support tonight. I need your help to get to the finish line. Please donate and help us get there	0.8979	reads the message on her campaign's website.  She says she will also be raising money for the Boys and Girls Clubs of the city-state of New York in her second campaign.  "I am committed to make Brooklyn proud again!" she states.  The Democratic Party of New York has made it mandatory for candidates to receive financial disclosure statements from their candidates and parties as a condition of receiving New York's primary election. The candidates must file them no later than July 19, which means this could be the first official Democratic primary in the state, however Clinton is not only an establishment candidate but is a front runner for the party of President Obama.  Democratic Party members say the requirement shows the party hasn't done enough to help women enter the fold.  "I think it's a good thing that she is running because she has a very good chance to win this race," said Debbie Schmitt, the chairwoman of the Democratic Party of New York, as reported by the New York Post.  "What's great about this is we're taking this message to the next generation of women who are ready to take on the powerful forces of sexism through these platforms. What is happening now in the country is it's changing our society to fit that
GovBIllWeld	Leslie &amp; I send love and best wishes to all Moms today. Loving, caring parents are the cornerstone of our communities. Happy Mother’s Day!	0.9686	†‡❤️♥ #momsdays2016 ♦  We wanted to celebrate Mother's Day because, by nature, we feel the moment we see a beautiful, loving, loving Mother, we feel the same way about her. Our mothers and fathers are like the only family we'll ever have, and we all appreciate it when other people appreciate us for that. It's amazing how much time we've spent without each other, but through our shared love we can truly feel good about those we love.  One of the best ways to honor the Mother we have here is to think about your mom with as much love as you'd like — and sometimes in a different way. To celebrate the first day after losing your father, for example, maybe you'd like to remember your Mom with fond memories:  Moms. For the love of mother and mother for the love of mother.  A photo posted by Katie M. (@katsitlausie) on Aug 18, 2016 at 8:40am PDT   Or maybe instead, what do you hope everyone celebrates today with Mom and Dad together? Maybe for the joy that comes along with these moments:  Happy Mothers Day,
CoryBooker	RT @m_rosenbloom: @CoryBooker did an amazing job in tonight’s debate! I am so proud to support him. Let’s make sure he’s in all future	0.9238	campaigns! — Marco Rubio (@marcorubio) November 28, 2015  Rubio's victory is a rare bit of good news for Trump.  After three tumultuous campaign seasons that ultimately produced zero GOP victories, the Republican front-runner and his GOP rivals have a chance to cement their status as the undisputed favorites, but Trump is up against a host of Democrats who are taking aim at the billionaire real estate mogul in hopes of beating him.  On Thursday evening, the Democratic National Committee formally endorsed Clinton for president. Even before the DNC made that decision, Clinton appeared to have narrowed Republican primary candidates in New York and Pennsylvania by a significant margin.  Read the full results of the New York primary here.
realDonaldTrump	RT @hogangidley45: The Democrats hate @realDonaldTrump so much, they lied about “collusion,” lied about a “cover-up,” lied about the	-0.906	voting results. They are the enemies of the American people. #NeverTrump #NeverHillary https://t.co/vwK2k1pfQd — Dr. Ben Carson (@RealBenCarson) November 23, 2016  #NeverTrump  Ben Carson @RealBenCarson On why he won't endorse Trump: "They are enemies of the people. They are liars for life." — Donald J. Trump (@realDonaldTrump) November 29, 2016  #NeverTrump — Donald J. Trump @realDonaldTrump on #NeverTrump: "They are enemies of the people. They are liars for life." https://t.co/tL8LfDQrWJ — Fox and Friends (@foxandfriends) November 24, 2016  "They are enemies of the people. They are liars for life."  Ben Carson (@RealBenCarson) On #NeverTrump: "They are enemies of the people, and I have known them for over 30 years. They are evil. They are evil." https://t.co/3lKZcJ4dX3 — The Rachel Maddow Show (@The
ewarren	@davidhogg111 Yes, I do! I’m also fighting to: ✔ Ban assault weapons. ✔ Prevent domestic abusers from legally	-0.9259	 possessing guns. ✔ Reduce gun violence in society. ✔ Prevent guns in schools, hospitals, sports arenas and shopping malls.
